article_headline,article_url,article_topic,source_name,source_url,article_datetime,article_position,article_isopinion,article_isad
Demolition of Collapsed Building to Start Soon as Sunday,https://www.msn.com/en-us/news/us/demolition-of-collapsed-building-to-start-soon-as-sunday/ar-AALJBvQ?ocid=BingNews,Top stories,The Wall Street Journal.,Unavailable,24m,1.0,False,False
Royal Caribbean opens cruise ship to house visiting rescuers,https://www.msn.com/en-us/news/us/royal-caribbean-opens-cruise-ship-to-house-visiting-rescuers/ar-AALHUwj?ocid=BingNews,Top stories,Associated Press,Unavailable,24m,2.0,False,False
Surfside mayor on building collapse: 'It’s been a tale of two cities',https://www.msn.com/en-us/news/us/surfside-mayor-on-building-collapse-it-s-been-a-tale-of-two-cities/ar-AALKiRq?ocid=BingNews,Top stories,FOX News,Unavailable,1h,3.0,False,False
Crews on lookout for pets in Florida condo building collapse,https://www.msn.com/en-us/weather/topstories/crews-on-lookout-for-pets-in-florida-condo-building-collapse/ar-AALK2y1?ocid=BingNews,Top stories,Associated Press,Unavailable,7h,4.0,False,False
Los Angeles spa protest turns violent after alleged transgender exposure incident,https://www.msn.com/en-us/entertainment/entertainment-celebrity/los-angeles-spa-protest-turns-violent-after-alleged-transgender-exposure-incident/ar-AALK3Bt?ocid=BingNews,Top stories,FOX News,Unavailable,4h,5.0,False,False
6 rescue workers at site of Miami building collapse test positive for Covid-19,https://www.msn.com/en-us/news/us/6-rescue-workers-at-site-of-miami-building-collapse-test-positive-for-covid-19/ar-AALJQTf?ocid=BingNews,Top stories,NBC News,Unavailable,8h,6.0,False,False
Elsa weakens to tropical storm as it moves through Caribbean,https://www.msn.com/en-us/weather/topstories/elsa-weakens-to-tropical-storm-as-it-moves-through-caribbean/ar-AALJ7a8?ocid=BingNews,Top stories,ABC News,Unavailable,45m,7.0,False,False
Chicken recall: Tyson recalls 8.5 million pounds of frozen chicken for possible listeria contamination,https://www.msn.com/en-us/money/companies/chicken-recall-tyson-recalls-85-million-pounds-of-frozen-chicken-for-possible-listeria-contamination/ar-AALKclu?ocid=BingNews,Top stories,USA TODAY,Unavailable,26m,8.0,False,False
11 people in custody after hourslong armed standoff on I-95,https://www.msn.com/en-us/news/crime/11-people-in-custody-after-hourslong-armed-standoff-on-i-95/ar-AALJLkc?ocid=BingNews,Top stories,USA TODAY,Unavailable,9h,9.0,False,False
Former White House physician says Democrats should follow through on cognitive demands and test Biden,https://www.msn.com/en-us/news/politics/former-white-house-physician-says-democrats-should-follow-through-on-cognitive-demands-and-test-biden/ar-AALKl90?ocid=BingNews,Top stories,FOX News,Unavailable,1h,10.0,False,False
Man faces federal charges after explosion in neighborhood,https://www.msn.com/en-us/news/crime/man-faces-federal-charges-after-explosion-in-neighborhood/ar-AALKiEM?ocid=BingNews,Top stories,Associated Press,Unavailable,2h,11.0,False,False
Trump hosts campaign-style rally in Florida as he aims to retain Republican spotlight,https://www.msn.com/en-us/news/politics/trump-hosts-campaign-style-rally-in-florida-as-he-aims-to-retain-republican-spotlight/ar-AALJdrq?ocid=BingNews,Top stories,Reuters,Unavailable,16h,12.0,False,False
Cowboys stay getting shipped to free agent CB Richard Sherman,https://www.msn.com/en-us/sports/nfl/cowboys-stay-getting-shipped-to-free-agent-cb-richard-sherman/ar-AALK9CD?ocid=BingNews,Sports,Cowboys Wire,Unavailable,3h,1.0,False,False
Choinière's 1st MLS goal helps Montreal beat Inter Miami 1-0,https://www.msn.com/en-us/sports/soccer/choini%C3%A8res-1st-mls-goal-helps-montreal-beat-inter-miami-1-0/ar-AALKcCQ?ocid=BingNews,Sports,Associated Press,Unavailable,48m,2.0,False,False
A.J. Brown gives Titans the most bang for their buck in 2021,https://www.msn.com/en-us/sports/nfl/aj-brown-gives-titans-the-most-bang-for-their-buck-in-2021/ar-AALJVIL?ocid=BingNews,Sports,Titans Wire,Unavailable,5h,3.0,False,False
"New day, new closer as Phillies top Padres in twice-delayed game | Rapid reaction",https://www.msn.com/en-us/sports/mlb/new-day-new-closer-as-phillies-top-padres-in-twice-delayed-game-rapid-reaction/ar-AALKvcR?ocid=BingNews,Sports,NJ.com,Unavailable,24m,4.0,False,False
Dennis Green's famous tirade is funniest moment of Larry Fitzgerald's career,https://www.msn.com/en-us/sports/nfl/dennis-green-s-famous-tirade-is-funniest-moment-of-larry-fitzgerald-s-career/ar-AALK9zF?ocid=BingNews,Sports,Cardinals Wire,Unavailable,3h,5.0,False,False
