article_headline,article_url,article_topic,source_name,source_url,article_datetime,article_position,article_isopinion,article_isad
"Oregon wildfire becomes biggest in the nation, burning over 200,000 acres",https://www.msn.com/en-us/news/weather/oregon-wildfire-becomes-biggest-in-the-nation-burning-over-200000-acres/ar-AAM7DVF?ocid=BingNews,Top stories,CBS News,Unavailable,2h,1.0,False,False
State's health officials warn of delta 'surge' as 7 children in ICU due to COVID-19,https://www.msn.com/en-us/news/us/states-health-officials-warn-of-delta-surge-as-7-children-in-icu-due-to-covid-19/ar-AAM7BAW?ocid=BingNews,Top stories,ABC News,Unavailable,15m,2.0,False,False
Middle Class homeowners are using this mortgage program to help pay off their homes.,https://api.taboola.com/2.0/json/msn-bingnews-us/recommendations.notify-click?app.type=desktop&app.apikey=f4e07b04dc5ff2a50fc9a1a3421bd7189a107d41&response.id=__4e21493288048ce07116f2882c4ce1d3__543066499714f43a5fa473509efc32b4&response.session=v2_c25b6101523d00d38c5fe595019ce5f4_2A09DB3AF68F6A1322A2CB4EF7C06BC1_1626226759_1626226759_CIi3jgYQhpxRGLrI2sXlx72m-QEgASgFMOEBOJGkDkCw5Q9IztfZA1C9BFgAYABopOXu-7uRh_zVAQ&item.id=%7E%7EV1%7E%7E-4172760391210046080%7E%7EN6Wl4WGNlFQtvIysXr29kV9FoqLW1_F8PlGhNS1MxqTTxvAnL2wqac4MyzR7uD46gj3kUkbS3FhelBtnsiJV6MhkDZRZzzIqDobN6rWmCPA3hYz5D3PLat6nhIftiT1lwdxwdlxkeV_Mfb3eos_TQeasbccu2HzCIbvKqPpgKvYfVh-50szu0_kSLrPAHdOCgfERKYgC2HxerOzJYi9Z6-qeIC3Cd0g4t6tMZl0msc7-_2smRJa1Ru7du5QN8qVyu3YKzDAJ3Q5ewGvsjoz23hyQBwiQ74utoI-vwUe8KvdQIiFyKAMoup9dqEAtgoLqjrOGv-6iDoYLvQ6osB3pEQ&item.type=text&sig=c4d327f9a9749ca59763fead959547830ce0237c24cc&redir=https%3A%2F%2Fwww.lowermybills.com%2Flending%2Fhome-refinance%2F%3Fsourceid%3Dlmb-64668-140793-321751%26moid%3D275638%26pkey1%3Dmsn-bingnews-us%26pkey2%3D%7BCPC%7D%26pkey3%3D%7B1007280%7D%26gclid%3DGiDj3i22fhBAGyfDgf1ESxutF5EQV3oN-kSO2l_ztH_uQiCwvT0owpTN66nhm-vTAQ%23tblciGiDj3i22fhBAGyfDgf1ESxutF5EQV3oN-kSO2l_ztH_uQiCwvT0owpTN66nhm-vTAQ&ui=2A09DB3AF68F6A1322A2CB4EF7C06BC1,Top stories,LowerMyBills,Unavailable,,3.0,False,True
Demonstrators block traffic in Miami area to support Cuban protesters,https://www.msn.com/en-us/news/world/demonstrators-block-traffic-in-miami-area-to-support-cuban-protesters/ar-AAM7uje?ocid=BingNews,Top stories,Reuters,Unavailable,16m,4.0,False,False
Biden blasts GOP voting restrictions push: 'The big lie is just that -- a big lie!',https://www.msn.com/en-us/news/politics/biden-blasts-gop-voting-restrictions-push-the-big-lie-is-just-that-a-big-lie/ar-AAM76T0?ocid=BingNews,Top stories,ABC News,Unavailable,40m,5.0,False,False
Texas Senate passes controversial voting reform bill,https://www.msn.com/en-us/news/politics/texas-senate-passes-controversial-voting-reform-bill/ar-AAM7DWg?ocid=BingNews,Top stories,FOX News,Unavailable,2h,6.0,False,False
Tennessee abandons vaccine outreach to minors — and not just for COVID-19,https://www.msn.com/en-us/news/us/tennessee-abandons-vaccine-outreach-to-minors-and-not-just-for-covid-19/ar-AAM7pYE?ocid=BingNews,Top stories,USA TODAY,Unavailable,4h,7.0,False,False
"Senate Democrats, Republicans grapple with price tag for Biden’s infrastructure agenda",https://www.msn.com/en-us/news/politics/senate-democrats-republicans-grapple-with-price-tag-for-biden-s-infrastructure-agenda/ar-AAM7cVB?ocid=BingNews,Top stories,The Washington Post,Unavailable,7h,8.0,False,False
Virginia: Senior Drivers Are in For a Big Surprise,https://api.taboola.com/2.0/json/msn-bingnews-us/recommendations.notify-click?app.type=desktop&app.apikey=f4e07b04dc5ff2a50fc9a1a3421bd7189a107d41&response.id=__4e21493288048ce07116f2882c4ce1d3__005451879128036213323fd34e9e1d91&response.session=v2_c25b6101523d00d38c5fe595019ce5f4_2A09DB3AF68F6A1322A2CB4EF7C06BC1_1626226759_1626226759_CIi3jgYQhpxRGLrI2sXlx72m-QEgASgFMOEBOJGkDkCw5Q9IztfZA1C9BFgAYABopOXu-7uRh_zVAQ&item.id=%7E%7EV1%7E%7E4414859910184573460%7E%7EPogqmEe4AMw4jV7aU7TykjQJXO6A5FtifwhbsAUQsP7TxvAnL2wqac4MyzR7uD46gj3kUkbS3FhelBtnsiJV6MhkDZRZzzIqDobN6rWmCPCa4OOH2uZk2Dre7Bw85J_YGz1JYOQAB9UAMHYAM3a7iBOD7_1FhssWwlohYCVA5AWa6KTD9qLa4o6Ce-m33w_I2GauL8tEzCo18k2URAX7OHRywnunM9upgV6dlCdSPjDhx0lIwHRcRfehi5dGgiRrxX8uCr8DjMDzPJT9syexjBMZS6-XVN26rq813wFoL6xF1uDCUl2erKuhM8RA00SfUlHEE5JhJa35ebe-Q-b4bg&item.type=text&sig=5d87a29f9ae988bf98260ccd4ebad468278c7420e4ea&redir=https%3A%2F%2Fwww.theratechopper.com%2Farticles%2Fhow-to-get-car-insurance-so-cheap-its-almost-free%2F%3Futm_source%3DTaboola%26affiliateId%3D1181%26affiliateName%3DTaboola%26subId1%3Dnone%26subId2%3Dcop_man%26subId3%3Dseniordriverssurprise%26subId4%3Dhowto%26subId5%3Dmsn-bingnews-us%26subId6%3DDesktop%26subId7%3DGiDj3i22fhBAGyfDgf1ESxutF5EQV3oN-kSO2l_ztH_uQiC8wkIo24u05fGQpIy-AQ%26tblci%3DGiDj3i22fhBAGyfDgf1ESxutF5EQV3oN-kSO2l_ztH_uQiC8wkIo24u05fGQpIy-AQ%23tblciGiDj3i22fhBAGyfDgf1ESxutF5EQV3oN-kSO2l_ztH_uQiC8wkIo24u05fGQpIy-AQ&ui=2A09DB3AF68F6A1322A2CB4EF7C06BC1,Top stories,The Rate Chopper,Unavailable,,9.0,False,True
Why has Cuba exploded in protests? It goes beyond the U.S. embargo and the pandemic,https://www.msn.com/en-us/news/world/why-has-cuba-exploded-in-protests-it-goes-beyond-the-us-embargo-and-the-pandemic/ar-AAM7xKm?ocid=BingNews,Top stories,NBC News,Unavailable,1h,10.0,False,False
