article_url,article_title,meta_description,section,authors,publish_date,modified_date,canonical_link,top_image,is_opinion
https://www.msn.com/en-us/news/us/hospitalizations-for-children-sharply-increase-as-delta-surges/ar-AAO4AgF?ocid=BingNews,"Hospitalizations for children sharply increase as Delta surges, C.D.C. studies find.","Vaccinations, however, have made a difference.",Health,"['Emma Goldberg', 'Emily Anthes']",2021-09-03 00:00:00,2021-09-04T13:30:26.000Z,https://www.nytimes.com/2021/09/03/health/delta-children-hospitalization-rates.html,https://static01.nyt.com/images/2021/09/03/world/03virus-briefing-children/03virus-briefing-children-facebookJumbo.jpg,false
https://www.msn.com/en-us/money/companies/corporate-america-critical-of-restrictive-voting-bills-remains-largely-silent-on-texas-abortion-ban/ar-AAO68Wk?ocid=BingNews,"Corporate America, critical of restrictive voting bills, remains largely silent on Texas abortion ban",Lack of reaction contrasts with companies' objections to restrictive voting bills earlier this year.,Business,[],2021-09-04 00:00:00,2021-09-04T18:44:59.579Z,https://www.washingtonpost.com/business/2021/09/04/companies-response-texas-abortion-ban/,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/PLCRWKQM4QI6ZJ6IMG5XWO7WFA.jpg&w=1440,false
https://www.msn.com/en-us/news/us/safety-of-basement-apartments-in-new-york-under-scrutiny-after-ida/ar-AAO5ZAO?ocid=BingNews,Safety of basement apartments in New York under scrutiny after deadly Ida flooding,"New York City's mayor estimates there are 50,000 illegal basement units with more than 100,000 residents, although he acknowledges that number could be much higher.",,[],,,https://www.cbsnews.com/news/new-york-basement-apartments-safety-under-scrutiny-deadly-ida-flooding/,https://cbsnews3.cbsistatic.com/hub/i/r/2021/09/04/96a9050f-7dcb-457e-b5c8-b6b4a5e60bd0/thumbnail/1200x630/f8957b8df648bce08dece8165f270437/gettyimages-1338111625.jpg,false
https://www.msn.com/en-us/news/other/gop-candidates-want-refugees-out-of-afghanistan-but-not-in-us/ar-AAO5RpB?ocid=BingNews,Are you a robot?,,,[],2021-09-04 00:00:00,,,,
https://www.msn.com/en-us/weather/topstories/lake-tahoe-evacuees-watching-weekend-with-hope-as-fire-slows/ar-AAO5k5J?ocid=BingNews,Lake Tahoe evacuees hope to return home as wildfire slows,"SOUTH LAKE TAHOE, Calif. (AP) — Firefighters are making progress on a California wildfire threatening South Lake Tahoe, officials said Saturday, lifting hopes for tens of thousands of residents who are waiting this weekend to return to the resort town.",South Lake Tahoe,['Daisy Nguyen'],2021-09-04 04:35:31+00:00,2021-09-05T00:18:18Z,https://apnews.com/eb5907b71556a9853b38bf75fa0845b8,https://storage.googleapis.com/afs-prod/media/eb347b44e4394f72bea616dd3020a703/3000.jpeg,
https://www.msn.com/en-us/news/us/us-investigates-child-bride-cases-among-afghan-evacuees/ar-AAO4Swi?ocid=BingNews,"U.S. investigates ""child bride"" cases among Afghan evacuees",These Afghans are now in U.S. custody both in the U.S. and in facilities abroad.,,"['Margaret Brennan', ""Margaret Brennan Is Moderator Of Cbs News'"", 'Bo Erickson']",,,https://www.cbsnews.com/news/u-s-investigates-child-bride-cases-among-afghans-who-fled-afghanistan/,https://cbsnews2.cbsistatic.com/hub/i/r/2021/09/04/7c8c25c8-012b-4b46-95ff-a964b8da3bc3/thumbnail/1200x630/5c5d478b0b0350572597dda1c6043c06/evacuation.png,false
https://www.msn.com/en-us/sports/tennis/osaka-weighs-another-break-from-tennis-after-us-open-loss/ar-AAO54hS?ocid=BingNews,Osaka weighs another break from tennis after US Open loss,"NEW YORK (AP) — Naomi Osaka looked over at her agent and said she wanted to tell the world what the two of them had discussed privately in an Arthur Ashe Stadium hallway after her U.S. Open title defense ended with a racket-tossing, composure-missing, lead-evaporating defeat in the third round.",Sports,['Howard Fendrich'],2021-09-04 02:16:01+00:00,2021-09-04T04:09:42Z,https://apnews.com/eed369edabccd64666fcd43889b5db61,https://storage.googleapis.com/afs-prod/media/7b09781208004152bbf11743e409b750/3000.jpeg,
https://www.msn.com/en-us/news/us/i-cant-believe-the-numbers-mass-shootings-homicide-rates-gun-sales-hit-highest-levels-since-1990s/ar-AAO5QOU?ocid=BingNews,USA TODAY,,,[],2021-09-04 00:00:00,,,https://www.gannett-cdn.com/sites/usatoday/images/favicon.png,
https://www.msn.com/en-us/news/us/they-said-they-were-vitamins-jail-inmates-unknowingly-got-ivermectin/ar-AAO58rh?ocid=BingNews,"""They said they were vitamins"": Inmates in Arkansas jail say they were unknowingly given ivermectin to treat COVID-19","""They used us as an experiment,"" one inmate told CBS News. ""Just because we wear stripes and we make a few mistakes in life, doesn't make us less of a human.""",,"['Li Cohen', 'Li Cohen Is A Social Media Producer', 'Trending Reporter For Cbs News', 'Focusing On Social Justice Issues.']",,,https://www.cbsnews.com/news/covid-19-ivermetin-arkansas-jail-inmates-vitamins/,https://cbsnews1.cbsistatic.com/hub/i/r/2021/09/03/15e1eca6-1dd2-4c17-bb6f-b15d3885a69f/thumbnail/1200x630/35fc82b9ef06e1f7f6f8627cbcb39cd3/gettyimages-1235007479.jpg,false
https://www.msn.com/en-us/news/crime/qanon-shaman-pleads-guilty-to-felony-charge-for-role-in-jan-6-capitol-riot/ar-AAO4OxX?ocid=BingNews,'QAnon Shaman' pleads guilty to felony charge for role in Jan. 6 Capitol riot,The man seen sporting a Viking helmet and fur vest during the Jan. 6 Capitol attack pleaded guilty Friday to one felony count related to his participation in the riot.,,"['Abc News', 'Alexander Mallin', 'Olivia Rubin', 'September']",,,https://abcnews.go.com/US/qanon-shaman-pleads-guilty-felony-charge-role-jan/story?id=79821976,https://s.abcnews.com/images/US/jacob-chansley-01-gty-jc-210115_1610727185111_hpMain_16x9_992.jpg,false
