article_headline,article_url,article_topic,source_name,source_url,article_datetime,article_position,article_isopinion
Biden consoles families and survivors of Surfside condo building collapse,https://news.google.com/articles/CAIiEBrUsWJ7tdvp6lpRGhhN4HQqGQgEKhAIACoHCAowyNj6CjDyiPICMJyFxQU?hl=en-US&gl=US&ceid=US%3Aen,Headlines,CBS News,https://news.google.com/publications/CAAqBwgKMMjY-gow8ojyAg?hl=en-US&gl=US&ceid=US%3Aen,2021-07-02T11:30:10Z,1.0,False
Workers discovered extensive concrete damage and suspended a repair effort last fall at collapsed Florida condo,https://news.google.com/articles/CAIiEINiF2Yt1wRCHf3og9tiP7IqGQgEKhAIACoHCAowjsP7CjCSpPQCMKCK0wU?hl=en-US&gl=US&ceid=US%3Aen,Headlines,USA TODAY,https://news.google.com/publications/CAAqBwgKMI7D-wowkqT0Ag?hl=en-US&gl=US&ceid=US%3Aen,2021-07-02T01:52:41Z,1.1,False
DeSantis and Biden make nice amid Surfside tragedy,https://news.google.com/articles/CBMiemh0dHBzOi8vd3d3LnBvbGl0aWNvLmNvbS9uZXdzbGV0dGVycy9mbG9yaWRhLXBsYXlib29rLzIwMjEvMDcvMDIvZGVzYW50aXMtYW5kLWJpZGVuLW1ha2UtbmljZS1hbWlkLXN1cmZzaWRlLXRyYWdlZHktNDkzNDUy0gEA?hl=en-US&gl=US&ceid=US%3Aen,Headlines,Politico,,2021-07-02T10:58:48Z,1.2,False
South Florida 100: Sending love to Surfside - South Florida Sun Sentinel - South Florida Sun-Sentinel,https://news.google.com/articles/CAIiEA2mhfaovprbI6GblAXbERUqGQgEKhAIACoHCAow5v-UCzDr1aoDMN7_zQY?hl=en-US&gl=US&ceid=US%3Aen,Headlines,South Florida Sun Sentinel,https://news.google.com/publications/CAAqBwgKMOb_lAsw69WqAw?hl=en-US&gl=US&ceid=US%3Aen,2021-07-02T12:03:00Z,1.3,True
"Condo collapse, Day 7: Thank you, Mr. President, our pain is deep, and your words matter | Opinion",https://news.google.com/articles/CAIiEC46wRSwSCiIhDp5JthF0-8qGQgEKhAIACoHCAow3oP-CjCIx_YCMMq63AU?hl=en-US&gl=US&ceid=US%3Aen,Headlines,Miami Herald,https://news.google.com/publications/CAAqBwgKMN6D_gowiMf2Ag?hl=en-US&gl=US&ceid=US%3Aen,2021-07-01T22:11:59Z,1.4,True
U.S. hands Bagram Airfield to Afghans after nearly 20 years,https://news.google.com/articles/CAIiECIDxz23WIKCWsAig2Q79U4qGQgEKhAIACoHCAow4Zn5CjCu8uACMLTRlgY?hl=en-US&gl=US&ceid=US%3Aen,Headlines,POLITICO,https://news.google.com/publications/CAAqBwgKMOGZ-QowrvLgAg?hl=en-US&gl=US&ceid=US%3Aen,2021-07-02T10:12:51Z,2.0,False
"As Afghanistan Forces Crumble, an Air of Unreality Grips the Capital",https://news.google.com/articles/CAIiENYzR4jjpta0antNu6Z5gqYqFwgEKg8IACoHCAowjuuKAzCWrzwwt4QY?hl=en-US&gl=US&ceid=US%3Aen,Headlines,The New York Times,https://news.google.com/publications/CAAqBwgKMI7rigMwlq88?hl=en-US&gl=US&ceid=US%3Aen,2021-07-02T16:05:01Z,2.1,False
A 'gut decision': Inside Biden's defense of Afghanistan withdrawal amid warnings of country's collapse,https://news.google.com/articles/CAIiEL_bnUrTBL0DwNssbuZ-5QIqMwgEKioIACIQpzoRSNLEm6QR--MasMLSAioUCAoiEKc6EUjSxJukEfvjGrDC0gIw1KnKBg?hl=en-US&gl=US&ceid=US%3Aen,Headlines,CNN ,https://news.google.com/publications/CAAiEKc6EUjSxJukEfvjGrDC0gIqFAgKIhCnOhFI0sSbpBH74xqwwtIC?hl=en-US&gl=US&ceid=US%3Aen,2021-07-02T15:50:01Z,2.2,False
"This July Fourth, America will leave Afghanistan independence in its death throes",https://news.google.com/articles/CAIiEDUCSlK5kGIrkMLLKaGH4R4qGQgEKhAIACoHCAowjsP7CjCSpPQCMJCK0wU?hl=en-US&gl=US&ceid=US%3Aen,Headlines,USA TODAY,https://news.google.com/publications/CAAqBwgKMI7D-wowkqT0Ag?hl=en-US&gl=US&ceid=US%3Aen,2021-07-01T12:01:28Z,2.3,True
"U.S. Leaves Its Last Afghan Base, Effectively Ending Operations",https://news.google.com/articles/CAIiEI4wvOO_FcEypR2uicY0wgwqFwgEKg8IACoHCAowjuuKAzCWrzww5oEY?hl=en-US&gl=US&ceid=US%3Aen,Headlines,The New York Times,https://news.google.com/publications/CAAqBwgKMI7rigMwlq88?hl=en-US&gl=US&ceid=US%3Aen,2021-07-02T15:56:34Z,2.4,False
Trump Organization prosecutors confront accusations of political bias,https://news.google.com/articles/CAIiEKT_R0LoseZUGgQszOFWNqYqGAgEKg8IACoHCAowjtSUCjC30XQwzqe5AQ?hl=en-US&gl=US&ceid=US%3Aen,Headlines,The Washington Post,https://news.google.com/publications/CAAqBwgKMI7UlAowt9F0?hl=en-US&gl=US&ceid=US%3Aen,2021-07-02T09:03:02Z,3.0,False
Trump Organization and CFO Allen Weisselberg charged with 15 counts in alleged tax fraud scheme,https://news.google.com/articles/CAIiEDE4a16LEyGhCuQYskDX8VwqGQgEKhAIACoHCAowyNj6CjDyiPICMJyFxQU?hl=en-US&gl=US&ceid=US%3Aen,Headlines,CBS News,https://news.google.com/publications/CAAqBwgKMMjY-gow8ojyAg?hl=en-US&gl=US&ceid=US%3Aen,2021-07-02T11:20:48Z,3.1,False
"The Trump charges look small potatoes, and the Republican base will shrug",https://news.google.com/articles/CAIiEN0Ric5gX4lp4xlLLTjpSt4qFggEKg4IACoGCAowl6p7MN-zCTC9vBU?hl=en-US&gl=US&ceid=US%3Aen,Headlines,The Guardian,https://news.google.com/publications/CAAqBggKMJeqezDfswk?hl=en-US&gl=US&ceid=US%3Aen,2021-07-02T16:09:17Z,3.2,True
Opinion | Will Trump Be Indicted?,https://news.google.com/articles/CAIiEOndK8wWU8Xhqzq34-dp_24qGAgEKg8IACoHCAowjuuKAzCWrzwworyzBg?hl=en-US&gl=US&ceid=US%3Aen,Headlines,The New York Times,https://news.google.com/publications/CAAqBwgKMI7rigMwlq88?hl=en-US&gl=US&ceid=US%3Aen,2021-07-02T01:31:16Z,3.3,True
"Opinion | As prosecutors indict the Trump Organization, Trump indicts himself",https://news.google.com/articles/CAIiEGfqE4z4bsrD6FDxQnPuAP0qGAgEKg8IACoHCAowjtSUCjC30XQw_qe5AQ?hl=en-US&gl=US&ceid=US%3Aen,Headlines,The Washington Post,https://news.google.com/publications/CAAqBwgKMI7UlAowt9F0?hl=en-US&gl=US&ceid=US%3Aen,2021-07-01T22:46:57Z,3.4,True
A Boeing 737 cargo plane makes emergency landing in the water near Honolulu,https://news.google.com/articles/CAIiEDHh8PgIftSTvRUztD504-cqMwgEKioIACIQpzoRSNLEm6QR--MasMLSAioUCAoiEKc6EUjSxJukEfvjGrDC0gIw1anKBg?hl=en-US&gl=US&ceid=US%3Aen,Headlines,CNN ,https://news.google.com/publications/CAAiEKc6EUjSxJukEfvjGrDC0gIqFAgKIhCnOhFI0sSbpBH74xqwwtIC?hl=en-US&gl=US&ceid=US%3Aen,2021-07-02T16:40:00Z,4.0,False
"Interview: Dr. Jim Ireland, Honolulu Emergency Services Department Director",https://news.google.com/articles/CCAiC3lqQ1ljcldfeWFRmAEB?hl=en-US&gl=US&ceid=US%3Aen,Headlines,KHON2 News,,2021-07-02T16:17:03Z,4.1,False
"Boeing cargo plane makes emergency landing in ocean near Honolulu, both pilots rescued",https://news.google.com/articles/CAIiELc1f1RdnYk0Uwtq1mnAufQqGQgEKhAIACoHCAow2Nb3CjDivdcCMP3ungY?hl=en-US&gl=US&ceid=US%3Aen,Headlines,CNBC,https://news.google.com/publications/CAAqBwgKMNjW9wow4r3XAg?hl=en-US&gl=US&ceid=US%3Aen,2021-07-02T15:57:44Z,4.2,False
"1 in critical condition, 1 in serious after Boeing 737 cargo plane crashes off West Oahu",https://news.google.com/articles/CBMiY2h0dHBzOi8vd3d3Lmhhd2FpaW5ld3Nub3cuY29tLzIwMjEvMDcvMDIvYm9laW5nLTczNy1jYXJnby1wbGFuZS1jcmFzaGVzLW9mZi13ZXN0LW9haHUtd2l0aC0yLWJvYXJkL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,Headlines,Hawaii News Now,,2021-07-02T13:07:00Z,4.3,True
"Boeing 737 cargo jet crashes into sea off Honolulu, Hawaii",https://news.google.com/articles/CBMiMWh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy93b3JsZC11cy1jYW5hZGEtNTc2OTc4MzXSATVodHRwczovL3d3dy5iYmMuY29tL25ld3Mvd29ybGQtdXMtY2FuYWRhLTU3Njk3ODM1LmFtcA?hl=en-US&gl=US&ceid=US%3Aen,Headlines,BBC News,,2021-07-02T16:48:30Z,4.4,False
