article_headline,article_url,article_topic,source_name,source_url,article_datetime,article_position,article_isopinion
"Top generals contradict Biden, say they urged him not to withdraw from Afghanistan",https://news.google.com/articles/CAIiEJnob2JV_bM9-Iy-Fr_o8uYqGQgEKhAIACoHCAow4Zn5CjCu8uACMLTRlgY?hl=en-US&gl=US&ceid=US%3Aen,Headlines,POLITICO,https://news.google.com/publications/CAAqBwgKMOGZ-QowrvLgAg?hl=en-US&gl=US&ceid=US%3Aen,2021-09-28T16:00:56Z,1.0,False
Watch Live: Top military officials testify on Afghanistan withdrawal | CBSN,https://news.google.com/articles/CCAiC2NxbExkc0F4NmhzmAEB?hl=en-US&gl=US&ceid=US%3Aen,Headlines,CBS News,,2021-09-28T13:31:18Z,1.1,False
"Milley, McKenzie say they recommended 2,500 troops stay in Afghanistan, after Biden claims he was never told",https://news.google.com/articles/CAIiEM4zVQFLY4P1ya9MyDsZ0P0qGQgEKhAIACoHCAowwL2ICzCckocDMMaPqQY?hl=en-US&gl=US&ceid=US%3Aen,Headlines,Fox News,https://news.google.com/publications/CAAqBwgKMMC9iAswnJKHAw?hl=en-US&gl=US&ceid=US%3Aen,2021-09-28T16:03:54Z,1.2,False
National security on the brink: What Congress and the public need to know | TheHill,https://news.google.com/articles/CBMieGh0dHBzOi8vdGhlaGlsbC5jb20vb3Bpbmlvbi9uYXRpb25hbC1zZWN1cml0eS81NzQxMjgtbmF0aW9uYWwtc2VjdXJpdHktb24tdGhlLWJyaW5rLXdoYXQtY29uZ3Jlc3MtYW5kLXRoZS1wdWJsaWMtbmVlZC10b9IBfGh0dHBzOi8vdGhlaGlsbC5jb20vb3Bpbmlvbi9uYXRpb25hbC1zZWN1cml0eS81NzQxMjgtbmF0aW9uYWwtc2VjdXJpdHktb24tdGhlLWJyaW5rLXdoYXQtY29uZ3Jlc3MtYW5kLXRoZS1wdWJsaWMtbmVlZC10bz9hbXA?hl=en-US&gl=US&ceid=US%3Aen,Headlines,The Hill,,2021-09-28T11:30:09Z,1.3,True
Afghanistan: Al-Qaeda could threaten US in a year - US general,https://news.google.com/articles/CBMiMWh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy93b3JsZC11cy1jYW5hZGEtNTg3MTk4MzTSATVodHRwczovL3d3dy5iYmMuY29tL25ld3Mvd29ybGQtdXMtY2FuYWRhLTU4NzE5ODM0LmFtcA?hl=en-US&gl=US&ceid=US%3Aen,Headlines,BBC News,,2021-09-28T15:56:22Z,1.4,False
House Democrats could vote on debt ceiling as soon as Tuesday,https://news.google.com/articles/CAIiEOuacPI6CeCsG9v5tLnLDXwqGQgEKhAIACoHCAowocv1CjCSptoCMPrTpgU?hl=en-US&gl=US&ceid=US%3Aen,Headlines,CNN,https://news.google.com/publications/CAAqBwgKMKHL9QowkqbaAg?hl=en-US&gl=US&ceid=US%3Aen,2021-09-28T15:11:15Z,2.0,False
Senate GOP Blocks Bill Funding Government And Avoiding Default,https://news.google.com/articles/CCAiC0ltNENGNERTZVVvmAEB?hl=en-US&gl=US&ceid=US%3Aen,Headlines,MSNBC,,2021-09-28T04:30:05Z,2.1,False
Government shutdown draws near as Senate blocks federal spending bill | USA TODAY,https://news.google.com/articles/CCAiC1F6eW9lempfMmJZmAEB?hl=en-US&gl=US&ceid=US%3Aen,Headlines,USA TODAY,,2021-09-27T23:31:32Z,2.2,False
Opinion: Debt ceiling negotiations again see Republicans misleading and endangering,https://news.google.com/articles/CAIiELWva6FqAyw_27C9hjauOB0qGQgEKhAIACoHCAow5vz_CjDCpIsDMKnz4gU?hl=en-US&gl=US&ceid=US%3Aen,Headlines,Des Moines Register,https://news.google.com/publications/CAAqBwgKMOb8_wowwqSLAw?hl=en-US&gl=US&ceid=US%3Aen,2021-09-28T11:03:39Z,2.3,True
Debt ceiling games endanger US fiscal credibility — again | TheHill,https://news.google.com/articles/CBMiYmh0dHBzOi8vdGhlaGlsbC5jb20vb3Bpbmlvbi9maW5hbmNlLzU3NDIyOC1kZWJ0LWNlaWxpbmctZ2FtZXMtZW5kYW5nZXItdXMtZmlzY2FsLWNyZWRpYmlsaXR5LWFnYWlu0gFmaHR0cHM6Ly90aGVoaWxsLmNvbS9vcGluaW9uL2ZpbmFuY2UvNTc0MjI4LWRlYnQtY2VpbGluZy1nYW1lcy1lbmRhbmdlci11cy1maXNjYWwtY3JlZGliaWxpdHktYWdhaW4_YW1w?hl=en-US&gl=US&ceid=US%3Aen,Headlines,The Hill,,2021-09-28T13:31:04Z,2.4,True
Gen. Milley says he wasn't trying to undermine Trump in China call,https://news.google.com/articles/CAIiEH0umcUGVwEGxRlnrXSzWVIqGQgEKhAIACoHCAowvIaCCzDnxf4CMP2F8gU?hl=en-US&gl=US&ceid=US%3Aen,Headlines,NBC News,https://news.google.com/publications/CAAqBwgKMLyGggsw58X-Ag?hl=en-US&gl=US&ceid=US%3Aen,2021-09-28T14:42:00Z,3.0,False
A Capitol Hill reckoning for top US general may again put Trump's political storms on full display,https://news.google.com/articles/CAIiELBVRmAASmYEnoxK968LTVQqGQgEKhAIACoHCAowocv1CjCSptoCMPrTpgU?hl=en-US&gl=US&ceid=US%3Aen,Headlines,CNN,https://news.google.com/publications/CAAqBwgKMKHL9QowkqbaAg?hl=en-US&gl=US&ceid=US%3Aen,2021-09-28T15:22:51Z,3.1,False
General defends himself over Trump and says his loyalty to nation is absolute,https://news.google.com/articles/CAIiEI3-DM8NL4oM2FzhgIcHfJgqFggEKg4IACoGCAowl6p7MN-zCTCtvxU?hl=en-US&gl=US&ceid=US%3Aen,Headlines,The Guardian,https://news.google.com/publications/CAAqBggKMJeqezDfswk?hl=en-US&gl=US&ceid=US%3Aen,2021-09-28T15:45:14Z,3.2,False
Gen. Milley Addresses Call With Chinese Official: My Task 'Was To De-escalate',https://news.google.com/articles/CCAiCzFPeHFUOFUySDRBmAEB?hl=en-US&gl=US&ceid=US%3Aen,Headlines,NBC News,,2021-09-28T15:00:51Z,3.3,False
