article_url,article_title,meta_description,section,authors,publish_date,modified_date,canonical_link,top_image,is_opinion
https://news.google.com/articles/CAIiEPBFi0Asu3pJZyZUheoswYkqGQgEKhAIACoHCAow4Zn5CjCu8uACMNSiwQU?hl=en-US&gl=US&ceid=US%3Aen,Manchin proposed $1.5T top-line number to Schumer this summer,,,[],,,https://www.politico.com/news/2021/09/30/manchin-proposed-15t-topline-number-to-schumer-this-summer-514803,https://static.politico.com/11/70/f613263c48c78f477a60f1246858/210930-joe-manchin-getty-773.jpg,false
https://news.google.com/articles/CAIiEFkInktgXEdQtvW4hPTjnc4qGQgEKhAIACoHCAownvOTCzCHjqkDMLa6lAc?hl=en-US&gl=US&ceid=US%3Aen,"With Biden's agenda hanging in the balance, progressive frustration with Sinema boils over","There’s one big question on Democrats’ minds in Washington: What does Sen. Kyrsten Sinema, D-Ariz., want?",,[],,,https://news.yahoo.com/with-bidens-agenda-hanging-in-the-balance-progressive-frustration-with-sinema-boils-over-200025056.html,https://s.yimg.com/ny/api/res/1.2/oiUDdfmteNcV.wSVc3g9yg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/os/creatr-uploaded-images/2021-09/e0ef98c0-2158-11ec-beb2-8f04d55b1652,
https://news.google.com/articles/CBMic2h0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL2RlbW9jcmF0cy1kaXZpZGVkLXByb2dyZXNzaXZlcy1jZW50cmlzdHMtc2F5LXRydXN0LWdvbmUtYTNkNjZmODNkZGFjOWIxOGU2MDdmNDY0MjlkYmM0MDjSAQA?hl=en-US&gl=US&ceid=US%3Aen,"Democrats divided: Progressives, centrists say trust is gone","WASHINGTON (AP) — In their fight over trillions of dollars, their paramount policy goals and perhaps their political fate, this isn't helping: Democratic progressives and centrists say they don't trust each other.",Donald Trump,['Alan Fram'],2021-09-30 04:50:01+00:00,2021-09-30T15:18:05Z,https://apnews.com/article/democrats-divided-progressives-centrists-say-trust-gone-a3d66f83ddac9b18e607f46429dbc408,https://storage.googleapis.com/afs-prod/media/343256d82e8c4b18a002ac7f5b5e5c23/3000.jpeg,
https://news.google.com/articles/CAIiEMddB45eL2asCJyik_ms5OYqMwgEKioIACIQAA149yomG4FPzzqQb_N6ZCoUCAoiEAANePcqJhuBT886kG_zemQw4vfLBg?hl=en-US&gl=US&ceid=US%3Aen,The trainwreck of Sen. Kyrsten Sinema is the cost of not getting money out of politics,"An Arizona Democrat's unfathomable opposition to progress is a win for her hedge-fund, Big Pharma donors, and a huge loss for democracy.","Will Bunch, columnists, attytood",['Will Bunch'],,,https://www.inquirer.com/columnists/attytood/kyrsten-sinema-blocks-biden-agenda-money-politics-20210930.html,https://www.inquirer.com/resizer/KH6yzrpOll9g0y60HoszkrQHFG8=/760x507/smart/filters:format(webp)/cloudfront-us-east-1.images.arcpublishing.com/pmn/FGZBLQPNBFESHGE7O7VZFSSES4.jpg,true
https://news.google.com/articles/CBMicGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vb3Bpbmlvbi9hcnRpY2xlcy8yMDIxLTA5LTMwL2JpZGVuLXMtYWdlbmRhLWluLWplb3BhcmR5LWRlbW9jcmF0cy1sYWNrLWEtdW5pZmllZC12aXNpb27SAQA?hl=en-US&gl=US&ceid=US%3Aen,Are you a robot?,,,[],,,,,
https://news.google.com/articles/CAIiEBj-a0lB_FSUYIqk-iei5yoqFwgEKg4IACoGCAow9vBNMK3UCDCFpJYH?hl=en-US&gl=US&ceid=US%3Aen,"Biden's Approval Rating Recovers Some From Last Month's Low, An NPR Poll Finds","The latest NPR/PBS NewsHour/Marist survey finds that 45% of U.S. adults approve of the job President Biden is doing, while 46% disapprove. That's a little better than his numbers last month.",,['Domenico Montanaro'],,,https://www.npr.org/2021/09/30/1041602893/bidens-approval-rating-recovers-some-from-last-months-low-an-npr-poll-finds,https://media.npr.org/assets/img/2021/09/29/gettyimages-1343313188_wide-a5c1eb60f060eb15d0db72babe287936a9a83887.jpg?s=1400,false
https://news.google.com/articles/CAIiEEuhg27CUTNG9IFKSozmqd8qFQgEKg0IACoGCAowxYgCMIBNMOGXAg?hl=en-US&gl=US&ceid=US%3Aen,Trump May Have Let Slip Details Of His Election Scheme As He Attacked Georgia Governor,"Trump said he wanted a ""special election"" in Georgia — part of an idea pushed by some advisers to use the military to force a redo of elections in states...",Politics,['Senior White House Correspondent'],2021-09-29 17:44:48-04:00,2021-09-29 18:52:19 -0400,https://www.huffpost.com/entry/trump-georgia-investigation_n_6154cee4e4b008640eafab33,https://img.huffingtonpost.com/asset/6154cffa2800009610a7248e.jpeg?ops=1778_1000,
https://news.google.com/articles/CAIiEOdalybzCbfw5qNMTLKNkK4qFwgEKg4IACoGCAow9vBNMK3UCDClvJYH?hl=en-US&gl=US&ceid=US%3Aen,They voted for Trump and then for Biden. Here's what these swing voters think now,"In a pair of virtual focus groups, a picture emerged of disappointment with Biden — but no regrets that they helped send Trump packing after one term.",,['Don Gonyea'],,,https://www.npr.org/2021/09/30/1041252418/they-voted-for-trump-and-then-for-biden-heres-what-these-swing-voters-think-now,https://media.npr.org/assets/img/2021/09/29/gettyimages-1235242878_wide-d2bcccaf52c7f5e1161bc0968e3366408d161606.jpg?s=1400,false
https://news.google.com/articles/CAIiEBELXoJQy8o4GItmDHO-LGEqGQgEKhAIACoHCAowvIaCCzDnxf4CMN6B8gU?hl=en-US&gl=US&ceid=US%3Aen,W. James Antle III A federal government shutdown looms. Why Biden is struggling to get his house in order.,"Federal government shutdown looms. Biden is struggling as Democrats split over infrastructure, Build Back better plan in House and Senate.",,"['W. James Antle Iii', ""W. James Antle Iii Is The Washington Examiner'S Politics Editor"", 'Author Of', 'Devouring Freedom', 'Can Big Government Ever Be Stopped']",2021-09-30 14:36:00+00:00,Thu Sep 30 2021 19:24:28 GMT+0000 (UTC),https://www.nbcnews.com/think/opinion/federal-government-shutdown-looms-why-biden-struggling-get-his-house-ncna1280361,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/newscms/2021_39/3509396/210930-joe-biden-al-1103.jpg",true
https://news.google.com/articles/CAIiEBO0xbAyjDmp2VRuFRhUHgMqFwgEKg8IACoHCAowjuuKAzCWrzww5oEY?hl=en-US&gl=US&ceid=US%3Aen,German Police Arrest 96-Year-Old Nazi Suspect Who Tried to Skip Court,"The woman, a former secretary in a concentration camp now facing more than 11,000 counts of accessory to murder, failed to show up for a court appearance on Thursday.",World,['Christopher F. Schuetze'],2021-09-30 14:05:42+00:00,2021-09-30T17:23:11.000Z,https://www.nytimes.com/2021/09/30/world/europe/irmgard-furchner-germany-nazi.html,https://static01.nyt.com/images/2021/09/30/world/30germany-trial-01/30germany-trial-01-facebookJumbo.jpg,false
