article_headline,article_url,article_topic,source_name,source_url,article_datetime,article_position,article_isopinion,article_isad
Why Biden may want to take a page from Trump's OPEC playbook,https://www.msn.com/en-us/news/politics/why-biden-may-want-to-take-a-page-from-trump-s-opec-playbook/ar-AALQpSM?ocid=Peregrine,Top Stories,CNN,Unavailable,,1.0,False,False
"Biden, Putin face early post-summit test over Syria cooperation",https://www.msn.com/en-us/news/world/biden-putin-face-post-summit-test-over-syria-cooperation/ar-AALODic?ocid=Peregrine,Top Stories,Bloomberg,Unavailable,,1.1,False,False
Need Cash? How to Access Your Home's Equity,https://aka.ms-ads.co/api-70bHGqJPxyyJI13e31Yxm9OdZw4NdAEUMcg1pED4eo65it?AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAdAf2rurp6v8G5kNxHcn7r3JUea0qXMEcPvDZdaFvh944uSN2FgsAXRf9064AOTDk0uD3ec598kgwyDhi0qJ5ifYZuHJ9KeqomDRv,Top Stories,AdLendingTree,Unavailable,,1.2,False,True
Coronavirus infections surging in immigration facilities,https://www.msn.com/en-us/news/politics/coronavirus-infections-surging-in-immigration-facilities/ar-AALQhGa?ocid=Peregrine,Top Stories,The Hill,Unavailable,,1.3,False,False
Prosecutors won’t seek death penalty in Pop Smoke murder case,https://www.msn.com/en-us/news/crime/prosecutors-won-t-seek-death-penalty-in-pop-smoke-murder-case/ar-AALQjdG?ocid=Peregrine,Top Stories,New York Daily News,Unavailable,,1.4,False,False
Amazing Device Lights Up Dark Countertops and Fixes Dark Kitchens,https://aka.ms-ads.co/api-52dLTKshNtNXOCSWYMoa2Vo5ef8KmpQx2Kxi1oVAAYGInp?AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA3iRfBHq7jnazM6K2o9XJ3IXILBvkCQNPkiiaqPqxij3vN5VK2HnpaRtufQa6bp7Orfc0VTP9dW9ZeKjY6Of2BBtsnP3NPtDm6rwS,Top Stories,AdHomeLife LED,Unavailable,,1.5,False,True
Union will defend teachers in 'critical race theory' fights,https://www.msn.com/en-us/news/politics/union-will-defend-teachers-in-critical-race-theory-fights/ar-AALQl0K?ocid=Peregrine,Top Stories,Associated Press,Unavailable,,1.6,False,False
Death toll rises to 32 as Surfside rescuers fight weather,https://www.msn.com/en-us/news/us/death-toll-rises-to-32-as-surfside-condo-collapse-rescue-effort-faces-challenges-from-tropical-storm-elsa/ar-AALQ37x?ocid=Peregrine,Top Stories,USA TODAY,Unavailable,,1.7,False,False
Parents speak out after 11-year-old son killed at amusement park: 'It is a nightmare',https://www.msn.com/en-us/news/us/parents-speak-out-after-11-year-old-son-killed-at-amusement-park-it-is-a-nightmare/ar-AALPKoC?ocid=Peregrine,Top Stories,ABC News,Unavailable,,1.8,False,False
U. Chicago Student Riding Train After Leaving Summer Internship Is Killed by Stray Bullet,https://www.msn.com/en-us/news/crime/u-chicago-student-riding-train-after-leaving-summer-internship-is-killed-by-stray-bullet/ar-AALPUjm?ocid=Peregrine,Top Stories,People,Unavailable,,1.9,False,False
Ta-Nehisi Coates to join Howard University journalism school faculty,https://www.msn.com/en-us/news/politics/ta-nehisi-coates-to-join-howard-university-journalism-school-faculty/ar-AALQexy?ocid=Peregrine,Top Stories,Washington Examiner,Unavailable,,1.10,False,False
"A Banking App Has Been Suddenly Closing Accounts, Sometimes Not Returning Customers’ Money",https://www.msn.com/en-us/news/us/a-banking-app-has-been-suddenly-closing-accounts-sometimes-not-returning-customers-money/ar-AALQbT4?ocid=Peregrine,Top Stories,ProPublica,Unavailable,,1.11,False,False
Nicaragua opposition arrests climb to 26,https://www.msn.com/en-us/news/world/nicaragua-opposition-arrests-climb-to-26/ar-AALQa8L?ocid=Peregrine,Top Stories,AFP,Unavailable,,2.0,False,False
Pentagon cancels massive JEDI cloud contract,https://www.msn.com/en-us/news/politics/pentagon-cancels-massive-jedi-cloud-contract/ar-AALQe7S?ocid=Peregrine,Top Stories,POLITICO,Unavailable,,3.0,False,False
"Remember the Alamo? Actually, Texas Republicans would rather you didn't",https://www.msn.com/en-us/news/us/remember-the-alamo-actually-texas-republicans-would-rather-you-didn-t/ar-AALQa5N?ocid=Peregrine,Top Stories,Salon,Unavailable,,4.0,False,False
These five charts summarize the state of the pandemic in America,https://www.msn.com/en-us/news/us/these-five-charts-summarize-the-state-of-the-pandemic-in-america/ar-AALIaEw?ocid=Peregrine,Top Stories,NBC News,Unavailable,,5.0,False,False
Eight Secrets To Good B2C Outreach,https://www.msn.com/en-us/news/technology/eight-secrets-to-good-b2c-outreach/ar-AALQ2j4?ocid=Peregrine,Top Stories,Newsweek,Unavailable,,6.0,False,False
Sophie Countess of Wessex joins sight loss charity for a tandem cycle,https://www.msn.com/en-us/news/world/sophie-countess-of-wessex-joins-sight-loss-charity-for-a-tandem-cycle/ar-AALQeiw?ocid=Peregrine,Top Stories,Daily Mail,Unavailable,,7.0,False,False
"19-year-old TikTok star Swavy, known for dances and memes, dies from gunshot wound: Police",https://www.msn.com/en-us/news/crime/19-year-old-tiktok-star-swavy-known-for-dances-and-memes-dies-from-gunshot-wound-police/ar-AALQ6Xy?ocid=Peregrine,Top Stories,INSIDER,Unavailable,,8.0,False,False
The US health system was already falling short. Then Covid-19 happened.,https://www.msn.com/en-us/health/medical/the-us-health-system-was-already-falling-short-then-covid-19-happened/ar-AALPPTK,Coronavirus,Vox.com,Unavailable,,9.0,False,False
"Parts of US may become breeding grounds for more Covid variants, expert says",https://www.msn.com/en-us/health/health-news/us-coronavirus-these-parts-of-the-us-could-become-breeding-grounds-for-potentially-more-covid-19-variants-expert-says/ar-AALOQBt,Coronavirus,CNN,Unavailable,,11.0,False,False
This is what America's next big COVID wave will look like,https://www.msn.com/en-us/news/us/this-is-what-america-s-next-big-covid-wave-will-look-like/ar-AALPn1W,Coronavirus,The Daily Beast,Unavailable,,12.0,False,False
Nicaragua arrests 6 more opposition figures; EU weighs move,https://www.msn.com/en-us/news/world/nicaragua-arrests-6-more-opposition-figures-eu-weighs-move/ar-AALQeoq,World,Associated Press,Unavailable,,13.0,False,False
PHOTOS: US troops left behind everything from energy drinks to armored vehicles when they abandoned a key base in Afghanistan in the dead of night,https://www.msn.com/en-us/news/world/photos-us-troops-left-behind-everything-from-energy-drinks-to-armored-vehicles-when-they-abandoned-a-key-base-in-afghanistan-in-the-dead-of-night/ar-AALQefv,World,Business Insider,Unavailable,,14.0,False,False
Spanish police arrest three over suspected homophobic killing,https://www.msn.com/en-us/news/world/spanish-police-arrest-three-over-suspected-homophobic-killing/ar-AALQiXp,World,Reuters,Unavailable,,15.0,False,False
US hosts high-level Saudi visit after Khashoggi killing,https://www.msn.com/en-us/news/world/us-hosts-high-level-saudi-visit-after-khashoggi-killing/ar-AALQ274,World,Associated Press,Unavailable,,16.0,False,False
Pet lion returned to owner after Cambodian Prime Minister intervenes,https://www.msn.com/en-us/news/world/pet-lion-returned-to-owner-after-cambodian-prime-minister-intervenes/ar-AALOMC9,World,CNN,Unavailable,,17.0,False,False
Death toll rises to 32 as Surfside rescuers fight weather,https://www.msn.com/en-us/news/us/death-toll-rises-to-32-as-surfside-condo-collapse-rescue-effort-faces-challenges-from-tropical-storm-elsa/ar-AALQ37x,US,USA TODAY,Unavailable,,18.0,False,False
Parents speak out after 11-year-old son killed at amusement park: 'It is a nightmare',https://www.msn.com/en-us/news/us/parents-speak-out-after-11-year-old-son-killed-at-amusement-park-it-is-a-nightmare/ar-AALPKoC,US,ABC News,Unavailable,,19.0,False,False
"11-year-old boy dies, 3 others injured after a raft ride at an Iowa amusement park overturns",https://www.msn.com/en-us/news/us/11-year-old-boy-dies-3-others-injured-after-a-raft-ride-at-an-iowa-amusement-park-overturns/ar-AALQbF3,US,CNN,Unavailable,,20.0,False,False
"Remember the Alamo? Actually, Texas Republicans would rather you didn't",https://www.msn.com/en-us/news/us/remember-the-alamo-actually-texas-republicans-would-rather-you-didn-t/ar-AALQa5N,US,Salon,Unavailable,,21.0,False,False
