article_headline,article_url,article_topic,source_name,source_url,article_datetime,article_position,article_isopinion,article_isad
"Bipartisan push for vocational training focuses on funding, curricula",https://www.msn.com/en-us/news/politics/bipartisan-push-for-vocational-training-focuses-on-funding-curricula/ar-AAOKr8M?ocid=Peregrine,Top Stories,The Hill,Unavailable,,1.0,False,False
Watch the Trailer for Artist JR's New Documentary Paper & Glue,https://www.msn.com/en-us/news/us/watch-the-trailer-for-artist-jr-s-new-documentary-paper-glue/ar-AAOKpuz?ocid=Peregrine,Top Stories,Time,Unavailable,,1.1,False,False
Want To Speak Spanish Before The Holidays.. Here's The Answer,https://api.taboola.com/2.0/json/msn-msn/recommendations.notify-click?app.type=desktop&app.apikey=69629143827c91b118c7e0dc9f2a4eb0059feae9&response.id=__2510c82c3d0c2e86f4276b7421eb766f__d25673532c37a96d16bbb17524fd8223&response.session=v2_4444e76d33acff93ed168234469a0868_0EDC621986AA699B213672A287AE6818_1632415237_1632415237_CNawjgYQrrs-GPDVh5eqvbbWmwEgASgFMOEBOJGkDkCw5Q9IztfZA1C9BFgAYABoiO2448bWpsuCAXAA&item.id=%7E%7EV1%7E%7E8716047068805373146%7E%7EdpOm5XzS0ZdJGQiTK5wvP4-FnEStEH4gEQJa0fdrMnYndpXq_nTToVci-tV_1bYyPVPbFHdycXfyr1VxmozLcV7JbGFbjtizQN29Zpin8p1JlawpbYFtoRw_FVSAoDPy8yoVX_ZV1DUzrU9mgEqIxVpt34vkyVLCqQj-j_6Ik-WFwt9_72reDSrMsTKuuUo5jkiVqX_d7KxOkzXOrpNB-Azu4__uhr6LEdTrfshKCWeY78VPzhW-j3jSIRR7sy-MDo4zJ68ljyzM5NKhPPS2TbYKa5RpBij5y2blp8Ln5o_x28bSVuNyeV_UqvZ1_GBFTS8Maux2jWC1gRU3nx5A7qkc7SHCD_JRK_65Mrx0yJ4&item.type=text&sig=6e03e2825b2675991f0d56e6f77f9528c5a1d7d319ce&redir=https%3A%2F%2Fgo.babbel.com%2Fv1%2Ftl%3Fbsc%3Dch-paiddiscovery-so-taboola-ca-tb_d_3weeks_ps_msn-lp-3weeks2020%26btp%3Ddefault%26utm_source%3DTaboola%26utm_medium%3DCON%26utm_campaign%3Dtb_d_3weeks_ps_msn%26utm_term%3Dmsn-msn%26utm_content%3D1023406_8991181_3034298802%26tcid%3DGiB_9FADfWe3Kun4oDlBs0XsrMdsl_hUkL3JM4ZFnI2-GiDvpz4oiqXHqsHrlct9%26tblci%3DGiB_9FADfWe3Kun4oDlBs0XsrMdsl_hUkL3JM4ZFnI2-GiDvpz4oiqXHqsHrlct9%23tblciGiB_9FADfWe3Kun4oDlBs0XsrMdsl_hUkL3JM4ZFnI2-GiDvpz4oiqXHqsHrlct9&ui=0EDC621986AA699B213672A287AE6818&cpb=GO8JIPrbHSoZdXMudGFib29sYXN5bmRpY2F0aW9uLmNvbTIId2F0ZXIxNTQ4gI6N6AJAkaQOSLDlD1DO19kDWL0EYwjd__________8BEN3__________wEYI2RjCNwKEKAQGBZkYwjQDBDwEhgXZGMI0gMQ4AYYCGRjCJYUEJccGBhkYwj3__________8BEPf__________wEYCWRjCOP__________wEQ4___________ARgdZGMI9BQQnh0YH2RqIDU5MTZhZTA1NmQxZTQ2NWI5YWU3Yzg2NGQ4ZmUxYTdieAGAAYpZiAH___________8B,Top Stories,AdBabbel,Unavailable,,1.2,False,True
A Pennsylvania school board reversed its ban on anti-racist books after weeks of student protests,https://www.msn.com/en-us/news/us/a-pennsylvania-school-board-reversed-its-ban-on-anti-racist-books-after-weeks-of-student-protests/ar-AAOKpoT?ocid=Peregrine,Top Stories,INSIDER,Unavailable,,1.3,False,False
Ft Meade: An incident Thursday morning at Ft. Meade was a training exercise,https://www.msn.com/en-us/news/us/ft-meade-an-incident-thursday-morning-at-ft-meade-was-a-training-exercise/ar-AAOKbVb?ocid=Peregrine,Top Stories,CNN,Unavailable,,1.4,False,False
Best of 2021: America's Most Loved Farm Game! No Install Required!,https://api.taboola.com/2.0/json/msn-msn/recommendations.notify-click?app.type=desktop&app.apikey=69629143827c91b118c7e0dc9f2a4eb0059feae9&response.id=__2510c82c3d0c2e86f4276b7421eb766f__8743cefa777a341ca5ef8037186a1d04&response.session=v2_4444e76d33acff93ed168234469a0868_0EDC621986AA699B213672A287AE6818_1632415237_1632415237_CNawjgYQrrs-GPDVh5eqvbbWmwEgASgFMOEBOJGkDkCw5Q9IztfZA1C9BFgAYABoiO2448bWpsuCAXAA&item.id=%7E%7EV1%7E%7E968464026436301885%7E%7E0jYHCREYPHIGKAKAaDKSvCGZGrQozZbf1nZF6BCN1tQndpXq_nTToVci-tV_1bYyPVPbFHdycXfyr1VxmozLcV7JbGFbjtizQN29Zpin8p1JlawpbYFtoRw_FVSAoDPy8yoVX_ZV1DUzrU9mgEqIxVpt34vkyVLCqQj-j_6Ik-WFwt9_72reDSrMsTKuuUo5683utS3GOTRUL93NYB8nEwzu4__uhr6LEdTrfshKCWeY78VPzhW-j3jSIRR7sy-M37n9ds-uZ7sYdFY_bdrxxvy4wF1y9NvXplDOmuc5JavJlwrez0rmg60WuGS_bHtOTS8Maux2jWC1gRU3nx5A7qkc7SHCD_JRK_65Mrx0yJ4&item.type=text&sig=2b3268573f88a7900b8fad9f88da0f53c1466ea6fe05&redir=https%3A%2F%2Flp.bigfarm.goodgamestudios.com%2F%3Fpid%3D7039%26tid%3Dcid-15418%26cid%3D1023406%26gci%3D14389%26ad_click_id%3DGiB_9FADfWe3Kun4oDlBs0XsrMdsl_hUkL3JM4ZFnI2-GiDPqEAo_8iws6qelp2WAQ%26tblci%3DGiB_9FADfWe3Kun4oDlBs0XsrMdsl_hUkL3JM4ZFnI2-GiDPqEAo_8iws6qelp2WAQ%23tblciGiB_9FADfWe3Kun4oDlBs0XsrMdsl_hUkL3JM4ZFnI2-GiDPqEAo_8iws6qelp2WAQ&ui=0EDC621986AA699B213672A287AE6818&cpb=GO8JIPrbHSoZdXMudGFib29sYXN5bmRpY2F0aW9uLmNvbTIId2F0ZXIxNTQ4gI6N6AJAkaQOSLDlD1DO19kDWL0EYwjd__________8BEN3__________wEYI2RjCNwKEKAQGBZkYwjQDBDwEhgXZGMI0gMQ4AYYCGRjCJYUEJccGBhkYwj3__________8BEPf__________wEYCWRjCOP__________wEQ4___________ARgdZGMI9BQQnh0YH2RqIDU5MTZhZTA1NmQxZTQ2NWI5YWU3Yzg2NGQ4ZmUxYTdieAGAAYpZiAH___________8B,Top Stories,AdGoodgame Big Farm,Unavailable,,1.5,False,True
Serbian troops on alert on Kosovo border as tensions mount,https://www.msn.com/en-us/news/world/serbian-troops-on-alert-on-kosovo-border-as-tensions-mount/ar-AAOKcpG?ocid=Peregrine,Top Stories,Associated Press,Unavailable,,1.6,False,False
Pelosi dings Republicans over possible government shutdown: ‘The former president was famous for not paying his bills’,https://www.msn.com/en-us/news/politics/pelosi-dings-republicans-over-possible-government-shutdown-the-former-president-was-famous-for-not-paying-his-bills/ar-AAOKtZz?ocid=Peregrine,Top Stories,Business Insider,Unavailable,,1.7,False,False
Editorial: Politically bankrupt: Senate Republicans are happy for the US to default on its debt,https://www.msn.com/en-us/news/politics/editorial-politically-bankrupt-senate-republicans-are-happy-for-the-us-to-default-on-its-debt/ar-AAOJm6I?ocid=Peregrine,Top Stories,New York Daily News,Unavailable,,1.8,False,False
Algeria ex-presidential candidate jailed for four years,https://www.msn.com/en-us/news/world/algeria-ex-presidential-candidate-jailed-for-four-years/ar-AAOKkde?ocid=Peregrine,Top Stories,AFP,Unavailable,,1.9,False,False
