article_headline,article_url,article_topic,source_name,source_url,article_datetime,article_position,article_isopinion,article_isad
COVID-19: Keep up with the latest safety and vaccine guidance,Unavailable,News,,Unavailable,LIVE,1.0,False,False
COVID-19: News and updates for Virginia,Unavailable,News,,Unavailable,LIVE,2.0,False,False
Russia's permafrost is thawing and this is what it's unveiling,Unavailable,News,Sky News,Unavailable,This morning,3.0,False,False
"Extreme weather is sweeping the world, with devastating floods and wildfires on 3 continents at once",Unavailable,News,Insider News,Unavailable,Last night,4.0,False,False
Welcome to the ‘Fyre Fest’ of overnight camps that closed after 6 days,Unavailable,News,The Boston Globe,Unavailable,2 hours ago,5.0,False,False
In pictures: ​​Eid al-Adha celebrations around the world,Unavailable,News,The Times,Unavailable,This morning,6.0,False,False
Activision Blizzard is sued by California over workplace culture,Unavailable,News,The New York Times,Unavailable,3 hours ago,7.0,False,False
Floods in China kill at least 25 and force thousands to evacuate.,Unavailable,News,The Times,Unavailable,Yesterday,8.0,False,False
"The western U.S. is enduring a punishing summer of heat, drought and wildfires",Unavailable,News,USA TODAY,Unavailable,Yesterday,9.0,False,False
99.5% of Texas COVID-19 deaths since February were amongst the unvaccinated,Unavailable,News,Texas Tribune,Unavailable,3 hours ago,10.0,False,False
"Meet Alexandre Arnault, the 29-year-old son of Europe's richest billionaire who may inherit the world's biggest luxury empire",Unavailable,News,Business Insider,Unavailable,Last night,11.0,False,False
The story of a great cattle escape — and its connection to our growing drought 🐮,Unavailable,News,Los Angeles Times,Unavailable,Yesterday,12.0,False,False
See how wildfire smoke spread across the United States,Unavailable,News,The New York Times,Unavailable,This morning,13.0,False,False
"🚨 Pelosi rejects Jim Jordan, Jim Banks serving on Jan. 6 select committee",Unavailable,News,Axios,Unavailable,Yesterday,14.0,False,False
A Couple's Gender Reveal Started a Deadly Wildfire. Now They're in Trouble.,Unavailable,News,VICE News,Unavailable,Yesterday,15.0,False,False
How California's electric car revolution is inflicting a big toll on Earth,Unavailable,News,Los Angeles Times,Unavailable,Yesterday,16.0,False,False
Urban heat disproportionately impacts communities of color in the U.S.,Unavailable,News,NowThis,Unavailable,2 hours ago,17.0,False,False
